,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,2,2020-09-29 21:34,"👍 동아!!
폐방 만이 답이다!!
어떤시민이 분노하는데!!
국민의짐 지지자들 
수구골통 집단들
가짜뉴스 조중동?",4140,894
1,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,3,2020-09-29 21:34,"당직사병이 휴가에 무슨 권한이 있지
부대장이 오케이 한건데.",3567,634
2,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,4,2020-09-29 21:34,박덕흠한태는 분노 안하냐?,1637,234
3,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,5,2020-09-29 21:34,병장회의 떠들어댄 이동재의 애널A아니냐,1310,85
4,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,6,2020-09-29 21:34,추미애가 거짓말 소설 쓰셨네  권력층에 있는 도둑!,2052,923
5,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,7,2020-09-29 21:34,"고발한다니까
젭싸게 꼬리 내렸네
추잡한 똥개 같으니라구~~~!!!",1121,80
6,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,8,2020-09-29 21:34,혼자분노했네 ㅋㅋㅋㅋ무혐의 기레기니네들 전부 고소각 ㅋㅋ,1284,320
7,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,9,2020-09-29 21:34,채넬에이 폐방  가즈아,1235,384
8,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,10,2020-09-29 21:34,법무부가 완전 섞어 질질 녹아 내린다!,827,177
9,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,11,2020-09-29 21:34,대깨문들  말씀좀 하시죠,1519,957
10,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,12,2020-09-29 21:34,"그니까 왜 휴가자한테 복귀하라고 전화를 하냐
딱봐도 고문관이었네",1365,804
11,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,13,2020-09-29 21:34,병장회의에 물어봤어야지.,558,21
12,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,14,2020-09-29 21:34,소설을 썼구나,603,68
13,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,15,2020-09-29 21:34,"쓰레기 폐방이 아니라
소각이 답!!!!!",649,119
14,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,16,2020-09-29 21:34,기레기들~~,778,253
15,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,17,2020-09-29 21:34,선택적 분노ㅋㅋㅋㅋㄱ,505,49
16,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,18,2020-09-29 21:34,이딴 게 기사라고 ㅋㅋㅋ,1009,556
17,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,19,2020-09-29 21:34,ㅈㄴ 화나네,427,50
18,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,20,2020-09-29 21:34,아들도 엄마도 다 거짓말  들통났네!  특검가자!,300,140
19,당직사병 '복귀독촉 전화' 사실로 확인..분노하는 시민들,21,2020-09-29 21:34,"법무부장관 아들  구하려고
우리 보통의 귀한아들이
이렇게 비참하게 당해도 되나요
우리의  자식이라고 생각하니
눈물이 나고 답답합니다",11,1
20,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",2,2020-09-29 21:34,강원랜드 채용비리 권성동이를 또 뽑았으니....... 업보려니 여기시고 죽는 소린 하지 마세요!!!,742,15
21,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",3,2020-09-29 21:34,강원랜드때문에 가정초토화된 인구수와  강원랜드사람없어서 초토화된 인구수중 누가  더 많을까?,501,16
22,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",4,2020-09-29 21:34,"이게 누구 때문이냐.  광하문 집회 국민의짐때문인데

10월3일에 집회한다는데 비판하는 언론은 하나 없으니.. 기레기들..",480,49
23,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",5,2020-09-29 21:34,수많은 사람들을 도박중독자로 만들면서 먹고살았으면 그만한 댓가를 치러야지. 별로 동정심은 안간다.,371,18
24,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",6,2020-09-29 21:34,"그래서,  뭐,  정선을 살려야 한다고?   국민 모두 정선가서 도박할까?  그걸 원해? 기자양반?",350,24
25,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",7,2020-09-29 21:34,카지노 없었을때는 어떻게  살았냐  기네기들  밥처먹고 이런걸 기사라고   ?,273,22
26,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",8,2020-09-29 21:34,도박쟁이와 그들 빨아먹는 사람들까지 걱정해야 되는가? 너무 살기 힘들다....,257,8
27,"[여기는 강릉] 강원랜드 주변 초토화..""최악의 추석""",9,2020-09-29 21:34,"비리의 온상 강원랜드.
권성동 요즘   뭐하시나?",248,7
